Modalidade,Inscricoes,InscricoesPagas,Isencao,IsencaoDeferidas,CondicoesEspeciais,CondicoesDeferidas,Timestamp
INT,6029,2197,2118,1057,81,0,2026-08-18 17:48:42.203918
SUB,525,98,228,43,0,0,2026-08-18 17:48:42.203918
SUP,1805,347,633,284,17,0,2026-08-18 17:48:42.203918
INT,6083,2208,2146,1057,81,0,2026-08-18 19:01:06.064930
SUB,528,99,229,43,0,0,2026-08-18 19:01:06.064930
SUP,1808,348,635,284,17,0,2026-08-18 19:01:06.064930
INT,6104,2212,2154,1057,81,0,2026-08-18 19:23:09.290485
SUB,528,99,229,43,0,0,2026-08-18 19:23:09.290485
SUP,1809,349,637,284,17,0,2026-08-18 19:23:09.290485
INT,6244,2336,2226,1057,83,0,2026-08-18 22:34:01.060227
SUB,531,99,230,43,0,0,2026-08-18 22:34:01.060227
SUP,1832,351,649,284,18,0,2026-08-18 22:34:01.060227
INT,6265,2342,2234,1057,83,0,2026-08-19 07:04:49.215471
SUB,533,101,230,43,0,0,2026-08-19 07:04:49.215471
SUP,1838,363,656,284,18,0,2026-08-19 07:04:49.215471
INT,6347,2354,2286,1065,83,0,2026-08-19 12:05:18.670492
SUB,540,105,233,44,0,0,2026-08-19 12:05:18.670492
SUP,1868,369,667,314,18,0,2026-08-19 12:05:18.670492
INT,6481,2375,2370,1101,84,0,2026-08-19 16:04:51.117052
SUB,549,105,236,44,0,0,2026-08-19 16:04:51.117052
SUP,1896,372,675,314,18,0,2026-08-19 16:04:51.117052
INT,6627,2402,2456,1119,84,0,2026-08-19 19:50:57.933734
SUB,559,105,241,44,0,0,2026-08-19 19:50:57.933734
SUP,1923,376,689,314,19,0,2026-08-19 19:50:57.933734
INT,6644,2408,2462,1119,85,0,2026-08-19 20:05:33.343536
SUB,559,105,241,44,0,0,2026-08-19 20:05:33.343536
SUP,1926,377,690,314,19,0,2026-08-19 20:05:33.343536
INT,6809,2446,2548,1119,87,0,2026-08-20 07:03:52.220097
SUB,570,109,245,44,0,0,2026-08-20 07:03:52.220097
SUP,1969,387,703,314,20,0,2026-08-20 07:03:52.220097
INT,6883,2491,2614,1120,88,0,2026-08-20 10:49:13.731425
SUB,577,110,247,44,0,0,2026-08-20 10:49:13.731425
SUP,1983,388,715,329,21,0,2026-08-20 10:49:13.731425
INT,6917,2494,2634,1156,89,0,2026-08-20 12:03:58.901931
SUB,580,111,247,44,0,0,2026-08-20 12:03:58.901931
SUP,1991,389,721,345,21,0,2026-08-20 12:03:58.901931
INT,7069,2523,2759,1223,94,0,2026-08-20 16:04:08.585041
SUB,589,113,250,44,0,0,2026-08-20 16:04:08.585041
SUP,2031,391,743,353,22,0,2026-08-20 16:04:08.585041
INT,7224,2558,2887,1266,94,0,2026-08-20 19:09:51.903511
SUB,592,119,252,45,0,0,2026-08-20 19:09:51.903511
SUP,2066,393,769,353,22,0,2026-08-20 19:09:51.903511
INT,7299,2571,2958,1266,95,0,2026-08-20 20:04:07.178247
SUB,593,119,253,45,0,0,2026-08-20 20:04:07.178247
SUP,2079,397,777,353,22,0,2026-08-20 20:04:07.178247
INT,7555,2627,3139,1266,100,0,2026-08-21 07:03:47.955293
SUB,611,121,265,45,0,0,2026-08-21 07:03:47.955293
SUP,2129,406,803,353,22,0,2026-08-21 07:03:47.955293
INT,7674,2636,3258,1316,102,0,2026-08-21 12:03:51.682525
SUB,614,121,267,49,0,0,2026-08-21 12:03:51.682525
SUP,2180,413,843,362,23,0,2026-08-21 12:03:51.682525
INT,7879,2672,3488,1332,108,0,2026-08-21 16:04:00.453312
SUB,628,126,274,49,0,0,2026-08-21 16:04:00.453312
SUP,2239,421,887,383,24,0,2026-08-21 16:04:00.453312
INT,8080,2701,3732,1338,110,0,2026-08-21 19:50:24.432352
SUB,638,127,289,49,0,0,2026-08-21 19:50:24.432352
SUP,2315,426,972,390,25,0,2026-08-21 19:50:24.432352
INT,8095,2703,3750,1338,110,0,2026-08-21 20:04:00.545123
SUB,639,127,289,49,0,0,2026-08-21 20:04:00.545123
SUP,2320,426,978,390,26,0,2026-08-21 20:04:00.545123
