Campus,Curso,Modalidade,FormaSelecao,Turno,TotalVagas
ARCOS,Técnico Integrado em Administração,INT,,Manhã e Tarde,45
ARCOS,Técnico Integrado em Mecânica,INT,,Manhã e Tarde,45
BAMBUÍ,Técnico Integrado em Administração,INT,,Manhã e Tarde,40
BAMBUÍ,Técnico Integrado em Agroindústria,INT,,Manhã e Tarde,30
BAMBUÍ,Técnico Integrado em Agropecuária,INT,,Manhã e Tarde,90
BAMBUÍ,Técnico Integrado em Biotecnologia,INT,,Manhã e Tarde,30
BAMBUÍ,Técnico Integrado em Eletromecânica,INT,,Manhã e Tarde,32
BAMBUÍ,Técnico Integrado em Informática,INT,,Manhã e Tarde,35
BETIM,Técnico Integrado em Automação Industrial,INT,,Manhã e Tarde,60
BETIM,Técnico Integrado em Mecânica,INT,,Manhã e Tarde,60
BETIM,Técnico Integrado em Química,INT,,Manhã e Tarde,60
CONGONHAS,Técnico Integrado em Edificações,INT,,Manhã e Tarde,70
CONGONHAS,Técnico Integrado em Mecânica,INT,,Manhã e Tarde,35
CONGONHAS,Técnico Integrado em Mineração,INT,,Manhã e Tarde,35
CONSELHEIRO LAFAIETE,Técnico Integrado em Eletrotécnica,INT,,Manhã e Tarde,40
CONSELHEIRO LAFAIETE,Técnico Integrado em Mecânica,INT,,Manhã e Tarde,40
CONSELHEIRO LAFAIETE,Técnico Integrado em Segurança do Trabalho,INT,,Manhã e Tarde,40
FORMIGA,Técnico Integrado em Administração,INT,,Manhã e Tarde,40
FORMIGA,Técnico Integrado em Eletrotécnica,INT,,Manhã e Tarde,35
FORMIGA,Técnico Integrado em Informática,INT,,Manhã e Tarde,40
GOVERNADOR VALADARES,Técnico Integrado em Edificações,INT,,Manhã e Tarde,40
GOVERNADOR VALADARES,Técnico Integrado em Meio Ambiente,INT,,Manhã e Tarde,40
GOVERNADOR VALADARES,Técnico Integrado em Segurança do Trabalho,INT,,Manhã e Tarde,40
IBIRITÉ,Técnico Integrado em Automação Industrial,INT,,Manhã e Tarde,40
IBIRITÉ,Técnico Integrado em Informática,INT,,Manhã e Tarde,40
